2023-03-14 12:33:03,418 Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Ciccone, Giulio', '601.0', '2023/03/14 12:33:02')
2023-03-14 12:33:03,432 Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Cimolai, Davide', '801.0', '2023/03/14 12:33:02')
2023-03-14 12:33:03,446 Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Clarke, Simon', '301.0', '2023/03/14 12:33:02')
2023-03-14 12:33:03,494 Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Consonni, Simone', '251.0', '2023/03/14 12:33:02')
2023-03-14 12:33:03,509 Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Coquard, Bryan', '151.0', '2023/03/14 12:33:02')
2023-03-14 12:33:03,557 Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Cort, Magnus', '34.0', '2023/03/14 12:33:02')
2023-03-14 12:33:03,574 Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Costa, Rui', '401.0', '2023/03/14 12:33:02')
2023-03-14 12:33:03,620 Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Covi, Alessandro', '201.0', '2023/03/14 12:33:02')
2023-03-14 12:33:03,637 Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Dainese, Alberto', '151.0', '2023/03/14 12:33:02')
2023-03-14 12:33:03,649 Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'de Buyst, Jasper', '601.0', '2023/03/14 12:33:02')
2023-03-14 12:33:03,698 Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'De Gendt, Aime', '1001.0', '2023/03/14 12:33:02')
2023-03-14 12:33:03,715 Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'De Lie, Arnaud', '41.0', '2023/03/14 12:33:02')
2023-03-14 12:33:03,760 Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'De Pooter, Dries', '1001.0', '2023/03/14 12:33:02')
2023-03-14 12:33:03,776 Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Degenkolb, John', '301.0', '2023/03/14 12:33:02')
2023-03-14 12:33:03,823 Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Dekker, David', '801.0', '2023/03/14 12:33:02')
2023-03-14 12:33:03,840 Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Denz, Nico', '1001.0', '2023/03/14 12:33:02')
2023-03-14 12:33:03,887 Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Devriendt, Tom', '801.0', '2023/03/14 12:33:02')
2023-03-14 12:33:03,904 Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Dillier, Silvan', '1001.0', '2023/03/14 12:33:02')
2023-03-14 12:33:03,917 Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Doull, Owain', '801.0', '2023/03/14 12:33:02')
2023-03-14 12:33:03,928 Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Dujardin, Sandy', '801.0', '2023/03/14 12:33:02')
2023-03-14 12:33:03,978 Inserted new entry for the first time: (None, 'Unibet', 'Milano - Sanremo 2023', 'Démare, Arnaud', '81.0', '2023/03/14 12:33:02')
