2023/03/14 12:06:21 - Entry: (1726, 'Unibet', 'Milano - Sanremo 2023', 'Dainese, Alberto', 151.0, '2023/03/14 12:06:21')
2023/03/14 12:06:21 - Entry: (253, 'Unibet', 'Milano - Sanremo 2023', 'Dainese, Alberto', 201.0, '2023/03/11 22:02:58')
2023/03/14 12:06:21 - Inserted entry: (None, 'Unibet', 'Milano - Sanremo 2023', 'Dekker, David', '801.0', '2023/03/14 12:06:21')
2023/03/14 12:06:21 - Entry: (1727, 'Unibet', 'Milano - Sanremo 2023', 'Dekker, David', 801.0, '2023/03/14 12:06:21')
2023/03/14 12:06:21 - Entry: (259, 'Unibet', 'Milano - Sanremo 2023', 'Dekker, David', 401.0, '2023/03/11 22:02:58')
2023/03/14 12:06:21 - Inserted entry: (None, 'Unibet', 'Milano - Sanremo 2023', 'Démare, Arnaud', '81.0', '2023/03/14 12:06:21')
2023/03/14 12:06:21 - Entry: (1728, 'Unibet', 'Milano - Sanremo 2023', 'Démare, Arnaud', 81.0, '2023/03/14 12:06:21')
2023/03/14 12:06:21 - Entry: (265, 'Unibet', 'Milano - Sanremo 2023', 'Démare, Arnaud', 101.0, '2023/03/11 22:02:58')
2023/03/14 12:06:21 - Inserted entry: (None, 'Unibet', 'Milano - Sanremo 2023', 'Ganna, Filippo', '41.0', '2023/03/14 12:06:21')
2023/03/14 12:06:21 - Entry: (1729, 'Unibet', 'Milano - Sanremo 2023', 'Ganna, Filippo', 41.0, '2023/03/14 12:06:21')
2023/03/14 12:06:21 - Entry: (1698, 'Unibet', 'Milano - Sanremo 2023', 'Ganna, Filippo', 51.0, '2023/03/12 18:29:10')
2023/03/14 12:06:21 - Inserted entry: (None, 'Unibet', 'Milano - Sanremo 2023', 'Girmay Hailu, Biniam', '29.0', '2023/03/14 12:06:21')
2023/03/14 12:06:21 - Entry: (1730, 'Unibet', 'Milano - Sanremo 2023', 'Girmay Hailu, Biniam', 29.0, '2023/03/14 12:06:21')
2023/03/14 12:06:21 - Entry: (1699, 'Unibet', 'Milano - Sanremo 2023', 'Girmay Hailu, Biniam', 26.0, '2023/03/12 18:29:10')
2023/03/14 12:06:21 - Inserted entry: (None, 'Unibet', 'Milano - Sanremo 2023', 'Groves, Kaden', '401.0', '2023/03/14 12:06:21')
2023/03/14 12:06:21 - Entry: (1731, 'Unibet', 'Milano - Sanremo 2023', 'Groves, Kaden', 401.0, '2023/03/14 12:06:21')
2023/03/14 12:06:21 - Entry: (290, 'Unibet', 'Milano - Sanremo 2023', 'Groves, Kaden', 301.0, '2023/03/11 22:02:58')
2023/03/14 12:06:21 - Inserted entry: (None, 'Unibet', 'Milano - Sanremo 2023', 'Honore, Mikkel Frølich', '151.0', '2023/03/14 12:06:21')
2023/03/14 12:06:21 - Entry: (1732, 'Unibet', 'Milano - Sanremo 2023', 'Honore, Mikkel Frølich', 151.0, '2023/03/14 12:06:21')
2023/03/14 12:06:21 - Entry: (299, 'Unibet', 'Milano - Sanremo 2023', 'Honore, Mikkel Frølich', 251.0, '2023/03/11 22:02:58')
2023/03/14 12:06:21 - Inserted entry: (None, 'Unibet', 'Milano - Sanremo 2023', 'Kron, Andreas', '201.0', '2023/03/14 12:06:21')
2023/03/14 12:06:21 - Entry: (1733, 'Unibet', 'Milano - Sanremo 2023', 'Kron, Andreas', 201.0, '2023/03/14 12:06:21')
2023/03/14 12:06:21 - Entry: (318, 'Unibet', 'Milano - Sanremo 2023', 'Kron, Andreas', 126.0, '2023/03/11 22:02:58')
2023/03/14 12:06:21 - Inserted entry: (None, 'Unibet', 'Milano - Sanremo 2023', 'Kwiatkowski, Michal', '201.0', '2023/03/14 12:06:21')
2023/03/14 12:06:21 - Entry: (1734, 'Unibet', 'Milano - Sanremo 2023', 'Kwiatkowski, Michal', 201.0, '2023/03/14 12:06:21')
2023/03/14 12:06:21 - Entry: (319, 'Unibet', 'Milano - Sanremo 2023', 'Kwiatkowski, Michal', 151.0, '2023/03/11 22:02:58')
2023/03/14 12:06:21 - Inserted entry: (None, 'Unibet', 'Milano - Sanremo 2023', 'Lampaert, Yves', '501.0', '2023/03/14 12:06:21')
2023/03/14 12:06:21 - Entry: (1735, 'Unibet', 'Milano - Sanremo 2023', 'Lampaert, Yves', 501.0, '2023/03/14 12:06:21')
2023/03/14 12:06:21 - Entry: (321, 'Unibet', 'Milano - Sanremo 2023', 'Lampaert, Yves', 301.0, '2023/03/11 22:02:58')
2023/03/14 12:06:21 - Inserted entry: (None, 'Unibet', 'Milano - Sanremo 2023', 'Laporte, Christophe', '26.0', '2023/03/14 12:06:21')
2023/03/14 12:06:21 - Entry: (1736, 'Unibet', 'Milano - Sanremo 2023', 'Laporte, Christophe', 26.0, '2023/03/14 12:06:21')
2023/03/14 12:06:21 - Entry: (1701, 'Unibet', 'Milano - Sanremo 2023', 'Laporte, Christophe', 29.0, '2023/03/12 18:29:10')
2023/03/14 12:06:21 - Inserted entry: (None, 'Unibet', 'Milano - Sanremo 2023', 'Louvel, Matis', '801.0', '2023/03/14 12:06:21')
2023/03/14 12:06:21 - Entry: (1737, 'Unibet', 'Milano - Sanremo 2023', 'Louvel, Matis', 801.0, '2023/03/14 12:06:21')
2023/03/14 12:06:21 - Entry: (323, 'Unibet', 'Milano - Sanremo 2023', 'Louvel, Matis', 301.0, '2023/03/11 22:02:58')
2023/03/14 12:06:21 - Inserted entry: (None, 'Unibet', 'Milano - Sanremo 2023', 'Lutsenko, Alexey', '401.0', '2023/03/14 12:06:21')
2023/03/14 12:06:21 - Entry: (1738, 'Unibet', 'Milano - Sanremo 2023', 'Lutsenko, Alexey', 401.0, '2023/03/14 12:06:21')
2023/03/14 12:06:21 - Entry: (324, 'Unibet', 'Milano - Sanremo 2023', 'Lutsenko, Alexey', 251.0, '2023/03/11 22:02:58')
2023/03/14 12:06:21 - Inserted entry: (None, 'Unibet', 'Milano - Sanremo 2023', 'Matthews, Michael', '34.0', '2023/03/14 12:06:21')
2023/03/14 12:06:21 - Entry: (1739, 'Unibet', 'Milano - Sanremo 2023', 'Matthews, Michael', 34.0, '2023/03/14 12:06:21')
2023/03/14 12:06:21 - Entry: (328, 'Unibet', 'Milano - Sanremo 2023', 'Matthews, Michael', 41.0, '2023/03/11 22:02:58')
2023/03/14 12:06:22 - Inserted entry: (None, 'Unibet', 'Milano - Sanremo 2023', 'Meeus, Jordi', '251.0', '2023/03/14 12:06:21')
2023/03/14 12:06:22 - Entry: (1740, 'Unibet', 'Milano - Sanremo 2023', 'Meeus, Jordi', 251.0, '2023/03/14 12:06:21')
2023/03/14 12:06:22 - Entry: (329, 'Unibet', 'Milano - Sanremo 2023', 'Meeus, Jordi', 201.0, '2023/03/11 22:02:58')
2023/03/14 12:06:22 - Inserted entry: (None, 'Unibet', 'Milano - Sanremo 2023', 'Mezgec, Luka', '601.0', '2023/03/14 12:06:21')
